Team,Name,Number
Team=England,KANE,9
Team=England,KONSA,2
Team=England,CHALOBAH,12
Team=England,MADUEKE,20
Team=England,MAINOO,16
Team=England,O'REILLY,3
Team=England,PICKFORD,1
Team=England,QUANSAH,26
Team=England,RASHFORD,11
Team=England,RICE,4
Team=England,ROGERS,17
Team=England,SAKA,7
Team=England,SPENCE,25
Team=England,STONES,5
Team=England,TONEY,22
Team=England,TRAFFORD,23
Team=England,WATKINS,19
Team=France,AKLIOUCHE,25
Team=France,BARCOLA,12
Team=France,CHERKI,24
Team=France,DEMBELE,7
Team=France,DIGNE,3
Team=France,DOUE,20
Team=France,GUSTO,2
Team=France,KANTE,13
Team=France,KONATE,15
Team=France,KONE,6
Team=France,KOUNDE,5
Team=France,L. HERNANDEZ,21
Team=France,LACROIX,26
Team=France,MAIGNAN,16
Team=France,MATETA,22
Team=France,MBAPPE,10
Team=France,OLISE,11
Team=France,RABIOT,14
Team=France,RISSER,23
Team=France,SALIBA,17
Team=France,SAMBA,1
Team=France,T. HERNANDEZ,19
Team=France,TCHOUAMENI,8
Team=France,THURAM,9
Team=France,UPAMECANO,4
Team=France,ZAIRE EMERY,18
Team=Germany,AMIRI,20
Team=Germany,ANTON,3
Team=Germany,BAUMANN,12
Team=Germany,BEIER,14
Team=Germany,BROWN,18
Team=Germany,GORETZKA,8
Team=Germany,GROß,13
Team=Germany,HAVERTZ,7
Team=Germany,OUÉDRAOGO,25
Team=Germany,KIMMICH,6
Team=Germany,LEWELING,9
Team=Germany,MUSIALA,10
Team=Germany,NEUER,1
Team=Germany,NMECHA,23
Team=Germany,NÜBEL,21
Team=Germany,PAVLOVIĆ,5
Team=Germany,RAUM,22
Team=Germany,RÜDIGER,2
Team=Germany,SANÉ,19
Team=Germany,SCHLOTTERBECK,15
Team=Germany,STILLER,16
Team=Germany,TAH,4
Team=Germany,THIAW,24
Team=Germany,UNDAV,26
Team=Germany,WIRTZ,17
Team=Germany,WOLTEMADE,11
Team=Ghana,ADJETEY,4
Team=Ghana,ADU,25
Team=Ghana,ANANG,12
Team=Ghana,ASANTE,10
Team=Ghana,ASARE,16
Team=Ghana,AYEW,9
Team=Ghana,BAAH,13
Team=Ghana,BABA,17
Team=Ghana,BOAKYE,20
Team=Ghana,CALEB,3
Team=Ghana,FATAWU,7
Team=Ghana,KAMALDEEN,22
Team=Ghana,LUCKASSEN,23
Team=Ghana,MENSAH,14
Team=Ghana,NUAMAH,24
Team=Ghana,OPOKU,18
Team=Ghana,OWUSU,15
Team=Ghana,PEPRAH,21
Team=Ghana,SEIDU,2
Team=Ghana,SEMENYO,11
Team=Ghana,SENEYA,26
Team=Ghana,SIBO,8
Team=Ghana,SULEMAN,6
Team=Ghana,THOMAS,5
Team=Ghana,WILLIAMS,19
Team=Ghana,ZIGI,1
Team=Haiti,A. PIERRE,12
Team=Haiti,ADE,4
Team=Haiti,ARCUS,2
Team=Haiti,BELLEGARDE,10
Team=Haiti,CASIMIR,21
Team=Haiti,LOUICIUS,11
Team=Haiti,DELCROIX,5
Team=Haiti,DUVERGER,23
Team=Haiti,DUVERNE,22
Team=Haiti,ETIENNE JR,7
Team=Haiti,EXPERIENCE,8
Team=Haiti,FORTUNE,19
Team=Haiti,ISIDOR,18
Team=Haiti,JEAN JACQUES,17
Team=Haiti,JOSEPH,16
Team=Haiti,METUSALA,14
Team=Haiti,LACROIX,13
Team=Haiti,NAZON,9
Team=Haiti,PAUGIN,24
Team=Haiti,PIERROT,20
Team=Haiti,PLACIDE,1
